gameId,week,nflPlayId,nflPlayType,nflPlayDescription,side,playerName,teamId,position
2026005,1,2129,PASS,"(11:47) (No Huddle) G.Minshew pass incomplete short right [P.Johnson]. AZ-C.Bisontis was injured during the play. 
PENALTY on AZ-G.Minshew, Intentional Grounding, 10 yards, enforced at LV 35.",off,Reggie Virgil,3800,WR
2026005,1,2129,PASS,"(11:47) (No Huddle) G.Minshew pass incomplete short right [P.Johnson]. AZ-C.Bisontis was injured during the play. 
PENALTY on AZ-G.Minshew, Intentional Grounding, 10 yards, enforced at LV 35.",off,Jayden Williams,3800,T
2026005,1,2129,PASS,"(11:47) (No Huddle) G.Minshew pass incomplete short right [P.Johnson]. AZ-C.Bisontis was injured during the play. 
PENALTY on AZ-G.Minshew, Intentional Grounding, 10 yards, enforced at LV 35.",def,Cameron McGrone,2520,OLB
2026005,1,2129,PASS,"(11:47) (No Huddle) G.Minshew pass incomplete short right [P.Johnson]. AZ-C.Bisontis was injured during the play. 
PENALTY on AZ-G.Minshew, Intentional Grounding, 10 yards, enforced at LV 35.",def,Patrick Johnson,2520,OLB
2026005,1,2129,PASS,"(11:47) (No Huddle) G.Minshew pass incomplete short right [P.Johnson]. AZ-C.Bisontis was injured during the play. 
PENALTY on AZ-G.Minshew, Intentional Grounding, 10 yards, enforced at LV 35.",def,Tristin McCollum,2520,SS
2026005,1,2129,PASS,"(11:47) (No Huddle) G.Minshew pass incomplete short right [P.Johnson]. AZ-C.Bisontis was injured during the play. 
PENALTY on AZ-G.Minshew, Intentional Grounding, 10 yards, enforced at LV 35.",def,Segun Olubi,2520,OLB
2026005,1,2129,PASS,"(11:47) (No Huddle) G.Minshew pass incomplete short right [P.Johnson]. AZ-C.Bisontis was injured during the play. 
PENALTY on AZ-G.Minshew, Intentional Grounding, 10 yards, enforced at LV 35.",def,Greedy Vance,2520,CB
2026005,1,2129,PASS,"(11:47) (No Huddle) G.Minshew pass incomplete short right [P.Johnson]. AZ-C.Bisontis was injured during the play. 
PENALTY on AZ-G.Minshew, Intentional Grounding, 10 yards, enforced at LV 35.",def,Jahfari Harvey,2520,DE
2026005,1,2129,PASS,"(11:47) (No Huddle) G.Minshew pass incomplete short right [P.Johnson]. AZ-C.Bisontis was injured during the play. 
PENALTY on AZ-G.Minshew, Intentional Grounding, 10 yards, enforced at LV 35.",def,Treydan Stukes,2520,FS
2026005,1,2129,PASS,"(11:47) (No Huddle) G.Minshew pass incomplete short right [P.Johnson]. AZ-C.Bisontis was injured during the play. 
PENALTY on AZ-G.Minshew, Intentional Grounding, 10 yards, enforced at LV 35.",def,Jermod McCoy,2520,CB
2026005,1,2129,PASS,"(11:47) (No Huddle) G.Minshew pass incomplete short right [P.Johnson]. AZ-C.Bisontis was injured during the play. 
PENALTY on AZ-G.Minshew, Intentional Grounding, 10 yards, enforced at LV 35.",def,Hezekiah Masses,2520,CB
2026005,1,2129,PASS,"(11:47) (No Huddle) G.Minshew pass incomplete short right [P.Johnson]. AZ-C.Bisontis was injured during the play. 
PENALTY on AZ-G.Minshew, Intentional Grounding, 10 yards, enforced at LV 35.",def,Brandon Cleveland,2520,DT
2026005,1,2129,PASS,"(11:47) (No Huddle) G.Minshew pass incomplete short right [P.Johnson]. AZ-C.Bisontis was injured during the play. 
PENALTY on AZ-G.Minshew, Intentional Grounding, 10 yards, enforced at LV 35.",def,Gary Smith III,2520,DT
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,off,Matt Pryor,3800,T
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,off,Gardner Minshew,3800,QB
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,off,Ihmir Smith-Marsette,3800,WR
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,off,Simi Fehoko,3800,WR
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,off,Bam Knight,3800,RB
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,off,Jon Gaines II,3800,C
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,off,Hayden Conner,3800,G
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,off,Josh Fryar,3800,T
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,off,Reggie Virgil,3800,WR
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,off,Jayden Williams,3800,T
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,off,Jameson Geers,3800,TE
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,def,Cameron McGrone,2520,OLB
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,def,Patrick Johnson,2520,OLB
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,def,Tristin McCollum,2520,SS
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,def,Segun Olubi,2520,OLB
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,def,Greedy Vance,2520,CB
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,def,Jahfari Harvey,2520,DE
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,def,Treydan Stukes,2520,FS
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,def,Jermod McCoy,2520,CB
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,def,Hezekiah Masses,2520,CB
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,def,Brandon Cleveland,2520,DT
2026005,1,2152,PASS,(11:36) (Shotgun) G.Minshew pass short right to S.Fehoko ran ob at LV 34 for 11 yards.,def,Gary Smith III,2520,DT
2026005,1,2199,SACK,(11:17) (Shotgun) G.Minshew sacked at LV 37 for -3 yards (P.Johnson).,off,Matt Pryor,3800,T
2026005,1,2199,SACK,(11:17) (Shotgun) G.Minshew sacked at LV 37 for -3 yards (P.Johnson).,off,Gardner Minshew,3800,QB
2026005,1,2199,SACK,(11:17) (Shotgun) G.Minshew sacked at LV 37 for -3 yards (P.Johnson).,off,Ihmir Smith-Marsette,3800,WR
2026005,1,2199,SACK,(11:17) (Shotgun) G.Minshew sacked at LV 37 for -3 yards (P.Johnson).,off,Simi Fehoko,3800,WR
2026005,1,2199,SACK,(11:17) (Shotgun) G.Minshew sacked at LV 37 for -3 yards (P.Johnson).,off,Bam Knight,3800,RB
