week,gameId,teamId,unit,unit_snaps,starters_played,starter_snap_share,qb1,qb1_snaps,season
2,2024020,0920,defense,49,1,1.1,,,2024
2,2024020,0920,offense,56,0,0.0,Joe Burrow,0.0,2024
2,2024020,0810,defense,56,9,18.7,,,2024
2,2024021,3410,offense,57,10,33.7,Daniel Jones,28.0,2024
2,2024021,2120,defense,57,9,16.9,,,2024
2,2024021,2120,offense,70,9,15.3,C.J. Stroud,15.0,2024
2,2024021,3410,defense,70,11,26.4,,,2024
2,2024022,2310,offense,53,8,23.3,Patrick Mahomes,18.0,2024
2,2024022,1540,defense,53,0,0.0,,,2024
2,2024022,1540,offense,72,0,0.0,Jared Goff,0.0,2024
2,2024022,2310,defense,72,7,8.5,,,2024
2,2024023,3000,offense,52,1,3.3,Sam Darnold,0.0,2024
2,2024023,1050,defense,52,0,0.0,,,2024
2,2024023,1050,offense,57,1,2.9,Deshaun Watson,0.0,2024
2,2024023,3000,defense,57,0,0.0,,,2024
2,2024024,0750,offense,46,2,5.1,Bryce Young,0.0,2024
2,2024024,3430,defense,46,1,2.0,,,2024
2,2024024,3430,offense,55,0,0.0,Aaron Rodgers,0.0,2024
2,2024024,0750,defense,55,0,0.0,,,2024
2,2024025,3800,offense,46,0,0.0,Kyler Murray,0.0,2024
2,2024025,2200,defense,46,2,5.1,,,2024
2,2024025,2200,offense,63,0,0.0,Anthony Richardson,0.0,2024
2,2024025,3800,defense,63,2,3.0,,,2024
2,2024026,5110,offense,69,10,21.6,Jayden Daniels,17.0,2024
2,2024026,2700,defense,69,7,12.3,,,2024
2,2024026,2700,offense,58,7,12.1,Tua Tagovailoa,11.0,2024
2,2024026,5110,defense,58,7,13.9,,,2024
2,2024027,3900,offense,54,11,40.4,Justin Fields,37.0,2024
2,2024027,0610,defense,54,9,16.7,,,2024
2,2024027,0610,offense,51,10,22.5,Josh Allen,0.0,2024
2,2024027,3900,defense,51,8,14.8,,,2024
2,2024028,4600,offense,40,2,10.0,Geno Smith,0.0,2024
2,2024028,2100,defense,40,0,0.0,,,2024
2,2024028,2100,offense,65,0,0.0,Will Levis,0.0,2024
2,2024028,4600,defense,65,1,0.8,,,2024
2,2024029,2510,offense,60,1,4.8,Matthew Stafford,0.0,2024
2,2024029,4400,defense,60,8,16.4,,,2024
2,2024029,4400,offense,59,8,14.2,Justin Herbert,0.0,2024
2,2024029,2510,defense,59,0,0.0,,,2024
2,2024030,4900,offense,49,4,9.3,Baker Mayfield,0.0,2024
2,2024030,2250,defense,49,2,3.9,,,2024
2,2024030,2250,offense,68,3,5.2,Trevor Lawrence,0.0,2024
2,2024030,4900,defense,68,3,7.6,,,2024
2,2024031,2520,offense,70,9,32.5,Gardner Minshew,27.0,2024
2,2024031,1200,defense,70,0,0.0,,,2024
2,2024031,1200,offense,57,3,10.0,Dak Prescott,0.0,2024
2,2024031,2520,defense,57,11,39.6,,,2024
2,2024032,1800,offense,51,1,4.3,Jordan Love,0.0,2024
2,2024032,1400,defense,51,10,18.2,,,2024
2,2024032,1400,offense,52,10,26.4,Bo Nix,19.0,2024
2,2024032,1800,defense,52,2,4.7,,,2024
2,2024033,4500,offense,64,4,13.4,Brock Purdy,10.0,2024
2,2024033,3300,defense,64,7,16.6,,,2024
2,2024033,3300,offense,63,8,26.7,Derek Carr,22.0,2024
2,2024033,4500,defense,63,4,8.1,,,2024
3,2024034,0920,offense,40,0,0.0,Joe Burrow,0.0,2024
3,2024034,2200,defense,40,10,24.1,,,2024
3,2024034,2200,offense,73,11,27.8,Anthony Richardson,23.0,2024
3,2024034,0920,defense,73,0,0.0,,,2024
3,2024035,0810,offense,61,0,0.0,Caleb Williams,0.0,2024
3,2024035,2310,defense,61,1,7.2,,,2024
3,2024035,2310,offense,50,0,0.0,Patrick Mahomes,0.0,2024
3,2024035,0810,defense,50,1,3.1,,,2024
3,2024036,0200,offense,43,0,0.0,Kirk Cousins,0.0,2024
3,2024036,2250,defense,43,10,45.5,,,2024
3,2024036,2250,offense,74,10,25.1,Trevor Lawrence,22.0,2024
3,2024036,0200,defense,74,0,0.0,,,2024
3,2024037,4900,offense,53,10,12.0,Baker Mayfield,7.0,2024
3,2024037,2700,defense,53,0,0.0,,,2024
3,2024037,2700,offense,56,1,1.8,Tua Tagovailoa,0.0,2024
3,2024037,4900,defense,56,7,5.0,,,2024
3,2024038,4500,offense,70,7,19.0,Brock Purdy,22.0,2024
3,2024038,2520,defense,70,1,3.6,,,2024
3,2024038,2520,offense,54,0,0.0,Gardner Minshew,0.0,2024
3,2024038,4500,defense,54,7,14.1,,,2024
3,2024039,0750,offense,63,9,14.3,Bryce Young,11.0,2024
3,2024039,0610,defense,63,0,0.0,,,2024
3,2024039,0610,offense,54,0,0.0,Josh Allen,0.0,2024
3,2024039,0750,defense,54,7,14.5,,,2024
3,2024040,3900,offense,40,11,29.3,Justin Fields,13.0,2024
3,2024040,1540,defense,40,0,0.0,,,2024
3,2024040,1540,offense,68,0,0.0,Jared Goff,0.0,2024
3,2024040,3900,defense,68,7,4.0,,,2024
3,2024041,1800,offense,64,0,0.0,Jordan Love,0.0,2024
3,2024041,0325,defense,64,2,11.4,,,2024
3,2024041,0325,offense,48,2,4.9,Lamar Jackson,0.0,2024
3,2024041,1800,defense,48,0,0.0,,,2024
3,2024042,2510,offense,50,0,0.0,Matthew Stafford,0.0,2024
3,2024042,2120,defense,50,0,0.0,,,2024
3,2024042,2120,offense,63,0,0.0,C.J. Stroud,0.0,2024
3,2024042,2510,defense,63,0,0.0,,,2024
3,2024043,3000,offense,64,0,0.0,Sam Darnold,0.0,2024
3,2024043,3700,defense,64,0,0.0,,,2024
3,2024043,3700,offense,57,0,0.0,Jalen Hurts,0.0,2024
3,2024043,3000,defense,57,0,0.0,,,2024
3,2024044,1200,offense,85,0,0.0,Dak Prescott,0.0,2024
3,2024044,4400,defense,85,0,0.0,,,2024
3,2024044,4400,offense,46,1,0.8,Justin Herbert,0.0,2024
3,2024044,1200,defense,46,0,0.0,,,2024
